text,label
Customer acknowledges they shared credentials with a friend who made purchases. Case pending documents.,first_party
Caller states phone number and email on file are unfamiliar; SIM swap suspected. Investigating with risk team.,third_party
Victim reports an unknown account opened using their SSN and a different mailing address. Reported to authorities.,third_party
Client acknowledges mailing mailing address and email are correct; disputes being responsible for charges. Investigating with risk team.,first_party
Customer claims identity theft; FTC affidavit filed; card reissued to verified mailing address. Reported to authorities.,third_party
Customer admits enrollment was theirs; now claims transactions were misunderstood. Case pending documents.,first_party
Account owner authorized recurring subscription then attempted chargebacks afterward. Case pending documents.,first_party
Cardholder confirms prior relationship with merchant and agreed to terms at checkout. Escalated for manual review.,first_party
Employer flagged payroll diversion to a new bank account not set up by employee.,third_party
Cardholder confirms prior relationship with merchant and agreed to terms at checkout. Investigating with risk team.,first_party
Borrower confirms they applied for the card but denies late fees and wants reversal. Case pending documents.,first_party
Caller states phone number and email on file are unfamiliar; SIM swap suspected.,third_party
Client acknowledges mailing mailing address and email are correct; disputes being responsible for transactions. Investigating with risk team.,first_party
Account owner authorized recurring subscription then attempted chargebacks afterward. Case pending documents.,first_party
Client acknowledges mailing address and email are correct; disputes being responsible for transactions. Investigating with risk team.,first_party
Victim reports stolen wallet; merchant attempted delivery to alternate mailing address. Dispute form submitted.,third_party
Member used their own card and now claims services not received after a billing dispute. Reported to authorities.,first_party
Caller states phone number and email on file are unfamiliar; SIM swap suspected. Escalated for manual review.,third_party
Client acknowledges mailing address and email are correct; disputes being responsible for charges. Investigating with risk team.,first_party
Member used their own card and now claims services not received after a billing dispute. Reported to authorities.,first_party
Customer acknowledges they shared credentials with a friend who made purchases.,first_party
Customer admits enrollment was theirs; now claims transactions were misunderstood. Reported to authorities.,first_party
Customer acknowledges they shared credentials with a friend who made purchases. Investigating with risk team.,first_party
Account takeover alert: password reset via unknown device; contact info changed. Investigating with risk team.,third_party
Card was shipped to an address the customer does not recognize; transactions appear out of state. Case pending documents.,third_party
Customer claims identity theft; FTC affidavit filed; card reissued to verified address. Investigating with risk team.,third_party
Account owner authorized recurring subscription then attempted chargebacks afterward. Reported to authorities.,first_party
Transactions from a device the client does not own; IP tied to another region.,third_party
Customer denies ever applying; credit pull occurred without consent; police report submitted. Reported to authorities.,third_party
Caller states phone number and email on file are unfamiliar; SIM swap suspected.,third_party
Customer claims identity theft; FTC affidavit filed; card reissued to verified mailing address.,third_party
Borrower confirms they applied for the payment card but denies late fees and wants reversal. Dispute form submitted.,first_party
Customer admits they opened the account and later disputed charges after overspending.,first_party
Customer admits they opened the account and later disputed charges after overspending. Reported to authorities.,first_party
Customer acknowledges they shared credentials with a friend who made purchases. Dispute form submitted.,first_party
Account owner authorized recurring subscription then attempted chargebacks afterward. Investigating with risk team.,first_party
Caller states phone number and email on file are unfamiliar; SIM swap suspected. Reported to authorities.,third_party
Customer denies ever applying; credit pull occurred without consent; police report submitted. Investigating with risk team.,third_party
Customer claims identity theft; FTC affidavit filed; card reissued to verified address. Dispute form submitted.,third_party
Victim reports an unknown account opened using their SSN and a different mailing address. Escalated for manual review.,third_party
Customer acknowledges they shared credentials with a friend who made purchases. Dispute form submitted.,first_party
Account takeover alert: password reset via unrecognized device; contact info changed. Reported to authorities.,third_party
Victim states stolen wallet; merchant attempted delivery to alternate address. Case pending documents.,third_party
Customer claims identity theft; FTC affidavit filed; card reissued to verified address. Reported to authorities.,third_party
Card was shipped to an mailing address the client does not recognize; transactions appear out of state. Dispute form submitted.,third_party
Customer denies ever applying; credit pull occurred without consent; police report submitted. Escalated for manual review.,third_party
Customer claims identity theft; FTC affidavit filed; card reissued to verified address. Escalated for manual review.,third_party
Caller states phone number and email on file are unfamiliar; SIM swap suspected. Escalated for manual review.,third_party
Borrower confirms they applied for the payment card but denies late fees and wants reversal. Investigating with risk team.,first_party
Client acknowledges mailing address and email are correct; disputes being responsible for transactions. Escalated for manual review.,first_party
Client acknowledges mailing mailing address and email are correct; disputes being responsible for transactions. Reported to authorities.,first_party
Borrower confirms they applied for the card but denies late fees and wants reversal. Reported to authorities.,first_party
Account owner authorized recurring subscription then attempted chargebacks afterward. Reported to authorities.,first_party
Victim reports an unknown account opened using their SSN and a different mailing address. Investigating with risk team.,third_party
Policyholder states they filed the claim but now disputes deductible responsibility. Reported to authorities.,first_party
Multiple accounts opened the same day with mismatched KYC details; customer unaware. Reported to authorities.,third_party
Multiple accounts opened the same day with mismatched KYC details; customer unaware. Dispute form submitted.,third_party
Employer flagged payroll diversion to a new bank account not set up by employee. Escalated for manual review.,third_party
Customer acknowledges they shared credentials with a friend who made purchases. Case pending documents.,first_party
Customer admits they opened the account and later disputed charges after overspending. Dispute form submitted.,first_party
Customer admits they opened the account and later disputed transactions after overspending. Case pending documents.,first_party
Employer flagged payroll diversion to a new bank account not set up by employee. Escalated for manual review.,third_party
Transactions from a device the customer does not own; IP tied to another region. Escalated for manual review.,third_party
Victim reports stolen wallet; merchant attempted delivery to alternate address.,third_party
Customer acknowledges they shared credentials with a friend who made purchases. Case pending documents.,first_party
Employer flagged payroll diversion to a new bank account not set up by employee.,third_party
Employer flagged payroll diversion to a new bank account not set up by employee. Escalated for manual review.,third_party
Client acknowledges mailing address and email are correct; disputes being responsible for transactions. Investigating with risk team.,first_party
